target,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,rank,log_likelihood_total,log_likelihood_avg,num_words
CC(=O)N[C@@H](Cc1cccc(Cl)c1)C(F)(F)F,CC(=O)N[C@@H](Cc1cccc(Cl)c1)C(F)(F)F,CC(=O)N[C@H](Cc1cccc(Cl)c1)C(F)(F)F,CC(=O)N[CC@@H](Cc1cccc(Cl)c1)C(F)(F)F,CC(=O)N[C@@H](Cc1cccc(Cl)c1)C(S)(F)F,CC(=O)N[C(@@H](Cc1cccc(Cl)c1)C(F)(F)F,1,-0.017926344648003578,-0.0005782691878266633,31
O=C(O)[C@H](Cc1ccccc1)OCc1ccccc1,O=C(O)[C@H](Cc1ccccc1)OCc1ccccc1,O=C(O)[C@@H](Cc1ccccc1)OCc1ccccc1,O=C(O)[C[C@H](Cc1ccccc1)OCc1ccccc1,O=C(O)[CC@H](Cc1ccccc1)OCc1ccccc1,O=C(O)[CH](Cc1ccccc1)OCc1ccccc1,1,-0.10937795788049698,-0.0040510352700948715,27
CCOC(=O)C[C@H](C)c1ccc(Cl)cc1,CCOC(=O)C[C@@H](C)c1ccc(Cl)cc1,CCOC(=O)C[C@H](C)c1ccc(Cl)cc1,CCOC(=O)C[CC@@H](C)c1ccc(Cl)cc1,CCOC(=O)C[CClC)c1ccc(Cl)cc1,CCOC(=O)C[C@@H](C)c1ccc(F)cc1,2,-1.099949598312378,-0.042305752635002136,26
CC[C@H](Oc1ccc(C(C)(C)C)cc1)C(=O)O,CC[C@H](Oc1ccc(C(C)(C)C)cc1)C(=O)O,CC[C@@H](Oc1ccc(C(C)(C)C)cc1)C(=O)O,CC[C@](Oc1ccc(C(C)(C)C)cc1)C(=O)O,CC[C@H](Oc1ccc(C(C)(C)C])cc1)C(=O)O,CC[C@H](Oc1ccc(C(CC)(C)C)cc1)C(=O)O,1,-0.06820917874574661,-0.0022002961486577988,31
COC[C@H]1CCCC[C@H]1c1ccc(OC)cc1,COC[C@H]1CCCC[C@H]1c1ccc(OC)cc1,COC[C@@H]1CCCC[C@@H]1c1ccc(OC)cc1,COC[C[C@H]1CCCC[C@H]1c1ccc(OC)cc1,COC[C@H]1CCCC[C@@H]1c1ccc(OC)cc1,COC[CO[C@H]1CCCC[C@H]1c1ccc(OC)cc1,1,-0.08492624014616013,-0.0031454162672162056,27
CCCC[C@H](C)OC(=O)c1ccccc1,CCCC[C@H](C)OC(=O)c1ccccc1,CCCC[C@@H](C)OC(=O)c1ccccc1,CCCC[C@H](C)OC(=O)C(C)(C)C,CCCC[C@@H](C)OC(=O)C(C)(C)C,CCCC[C@H](C)OC(=O)c1ccCC)C,1,-0.46008187532424927,-0.020912813022732735,22
CC[C@H](Oc1ccc2ccccc2c1)C(=O)O,CC[C@H](Oc1ccc2ccccc2c1)C(=O)O,CC[C@@H](Oc1ccc2ccccc2c1)C(=O)O,CC[C@H](Nc1ccc2ccccc2c1)C(=O)O,CC[CC@H](Oc1ccc2ccccc2c1)C(=O)O,CC[C]@H](Oc1ccc2ccccc2c1)C(=O)O,1,-0.09040827304124832,-0.003348454600200057,27
COc1ccc([C@H](C)Cc2ccccc2)cc1,COc1ccc([C@H](C)Cc2ccccc2)cc1,COc1ccc([C@@H](C)Cc2ccccc2)cc1,COc1ccc([CH](C)Cc2ccccc2)cc1,COc1ccc([C\C)Cc2ccccc2)cc1,COc1ccc([C/C)Cc2ccccc2)cc1,1,-0.007790777832269669,-0.0003246157430112362,24
COc1ccc([C@@H](C)NC(C)=O)cc1,COc1ccc([C@H](C)NC(C)=O)cc1,COc1ccc([C@@H](C)NC(C)=O)cc1,CC(=O)N[C@@H](C)c1ccc(OC)cc1,CC(=O)N[C@H](C)c1ccc(OC)cc1,CC[C@@H](NC(C)=O)c1ccc(OC)cc1,2,-1.8749419450759888,-0.081519216299057,23
CC(=O)N[C@H](C#N)Cc1ccccc1,CC(=O)N[C@H](C#N)Cc1ccccc1,CC(=O)N[C@@H](C#N)Cc1ccccc1,CC(=O)N[CC@H](C#N)Cc1ccccc1,CC(=O)N[C@H](C#N])Cc1ccccc1,CC(=O)N[C](C#N)Cc1ccccc1,1,-0.22586968541145325,-0.009411237202584743,24
C[C@H](c1ccccc1)C(C)(C)C,C[C@H](c1ccccc1)C(C)(C)C,C[C@@H](c1ccccc1)C(C)(C)C,C[C[C@H](c1ccccc1)C(C)(C)C,C[C[C@@H](c1ccccc1)C(C)(C)C,C[CC@H](c1ccccc1)C(C)(C)C,1,-0.61869877576828,-0.0281226709485054,22
C[C@H](Cc1ccccc1)c1ccccc1,C[C@H](Cc1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1,C[CC@H](Cc1ccccc1)c1ccccc1,CC[C@H](C)c1ccc(OC)cc1,C[CH](Cc1ccccc1)c1ccccc1,1,-0.012653599493205547,-0.000575163634493947,22
CC(=O)N[C@H]1CCCC[C@H]1c1ccccc1,CC(=O)N[C@H]1CCCC[C@H]1c1ccccc1,CC(=O)N[C@@H]1CCCC[C@@H]1c1ccccc1,CC(=O)N[C@@H]1CCCC[C@H]1c1ccccc1,CC(=O)N[C@H]1CCCC[C@@H]1c1ccccc1,CC(=O)N[CC@H]1CCCC[C@H]1c1ccccc1,1,-0.5221623182296753,-0.018648654222488403,28
C[C@@H](Cc1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1,C[C@H](Cc1ccccc1)c1ccccc1,C[CC@@H](Cc1ccccc1)c1ccccc1,C[C[C@@H](Cc1ccccc1)c1ccccc1,C[C/C(=O)C[C@H](C)c1ccccc1,1,-0.045437876135110855,-0.0020653579849749804,22
COC(=O)C[C@@H](NC(C)=O)c1ccc(OC)cc1,COOCC[C@@H](NC(C)=O)c1ccc(OC)cc1,COOCC[C@H](NC(C)=O)c1ccc(OC)cc1,COOCC[CC@@H](NC(C)=O)c1ccc(OC)cc1,COOBCC[C@@H](NC(C)=O)c1ccc(OC)cc1,COoCC[C@@H](NC(C)=O)c1ccc(OC)cc1,0,-23.986286163330078,-0.7995428442955017,30
CCCC[C@@H](C)B1OC(C)(C)C(C)(C)O1,CCCC[C@@H](C)B1OC(C)(C)C(C)(C)O1,CCCC[C@H](C)B1OC(C)(C)C(C)(C)O1,CCCC[CC@@H](C)B1OC(C)(C)C(C)(C)O1,CCCC[C(@@H](C)B1OC(C)(C)C(C)(C)O1,CCCC[CH](C)B1OC(C)(C)C(C)(C)O1,1,-0.06670773029327393,-0.0024706567637622356,27
COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O,COC(=O)[C[C@H](Cc1ccccc1)NC(C)=O,COC(=O)[C[C@@H](Cc1ccccc1)NC(C)=O,COC(=O)[CC@@H](Cc1ccccc1)NC(C)=O,1,-0.6700836420059204,-0.025772448629140854,26
O=C(O)[C@H](CO)Cc1ccccc1,O=C(O)[C@H](CO)Cc1ccccc1,O=C(O)[C@@H](CO)Cc1ccccc1,O=C(O)[CC@H](CO)Cc1ccccc1,O=C(O)[C]@H](CO)Cc1ccccc1,O=C(O)[C@H](CC)Cc1ccccc1,1,-0.16857755184173584,-0.008027502335608006,21
C[C@@H](Cc1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1,C[C@H](Cc1ccccc1)c1ccccc1,C[CC@@H](Cc1ccccc1)c1ccccc1,C[C[C@@H](Cc1ccccc1)c1ccccc1,C[C/C(=O)C[C@H](C)c1ccccc1,1,-0.045437876135110855,-0.0020653579849749804,22
C=C(/C=C\C)C[C@@H](C)c1ccccc1,C=C(/C=C\C)C[C@H](C)c1ccccc1,C=C(/C=C\C)C[C@@H](C)c1ccccc1,C=C(/C=C(\C)C[C@H](C)c1ccccc1,C=C(/C=C(\C)C[C@@H](C)c1ccccc1,C=C(/C=C\C)C[C=C\C)c1ccccc1,2,-0.818440854549408,-0.03147849440574646,26
C[C@H](c1ccccc1)C(C)(C)C,C[C@H](c1ccccc1)C(C)(C)C,C[C@@H](c1ccccc1)C(C)(C)C,C[C[C@H](c1ccccc1)C(C)(C)C,C[C[C@@H](c1ccccc1)C(C)(C)C,C[CC@H](c1ccccc1)C(C)(C)C,1,-0.61869877576828,-0.0281226709485054,22
CCc1ccc2c(c1)C(=O)[C@@H](NC(C)=O)C2,CCc1ccc2c(c1)C(=O)[C@@H](NC(C)=O)C2,CCc1ccc2c(c1)C(=O)[C@H](NC(C)=O)C2,CCc1ccc2c(-c1)C(=O)[C@@H](NC(C)=O)C2,CCc1ccc2c(c1)[C@H](NC(C)=O)C2,CCc1ccc2c(c1)C(=O)[CNC(C)=O)C2,1,-0.024423111230134964,-0.0007878423202782869,31
COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O,COC(=O)[CC@@H](Cc1ccccc1)NC(C)=O,COC(=O)[C]@@H](Cc1ccccc1)NC(C)=O,COC(=O)[C=C/c1ccccc1)NC(C)=O,1,-0.05677717551589012,-0.002183737466111779,26
COC(=O)[C@H](C)Cc1ccccc1,COC(=O)[C@H](C)Cc1ccccc1,COC(=O)[C@@H](C)Cc1ccccc1,COC(=O)[CC@H](C)Cc1ccccc1,COC(=O)[C@H](C/C)Cc1ccccc1,COC(=O)[COCC(C)[C@H](C)c1ccccc1,1,-0.03626071661710739,-0.0017267008079215884,21
COC(=O)C[C@@H](C)C(=O)OC,COC(=O)C[C@H](C)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC,COC(=O)C[C[C@H](C)C(=O)OC,COC(=O)C[C[C@@H](C)C(=O)OC,COC(=O)C[CC@H](C)C(=O)OC,2,-0.7451332211494446,-0.03386969119310379,22
C[C@@H](c1ccccc1)c1cc(F)ccc1O,C[C@@H](c1ccccc1)c1cc(F)ccc1O,C[C@H](c1ccccc1)c1cc(F)ccc1O,C[C@@H](c1ccccc1)c1ccc(F)ccc1O,C[C@H](c1ccccc1)c1ccc(F)ccc1O,C[CC@@H](c1ccccc1)c1cc(F)ccc1O,1,-0.01707405038177967,-0.000682962010614574,25
CC(=O)N[C@H]1CCCC[C@H]1C,CC(=O)N[C@H]1CCCC[C@H]1C,CC(=O)N[C@@H]1CCCC[C@@H]1C,CC(=O)N[C@H]1CCCC[C@@H]1C,CC(=O)N[C[C@H]1CCCC[C@H]1C,CC(=O)N[C@@H]1CCCC[C@H]1C,1,-0.14686977863311768,-0.006385642569512129,23
C[C@H](CC(=O)n1cccn1)c1ccccc1,C[C@H](CC(=O)n1cccn1)c1ccccc1,C[C@@H](CC(=O)n1cccn1)c1ccccc1,C[C\C(=O)n1cccn1)[C@H](C)CC(=O)n1cccn1,C[C=C(=O)n1cccn1)[C@H](C)CC(=O)n1cccn1,C[CC@H](CC(=O)n1cccn1)c1ccccc1,1,-0.06439757347106934,-0.0025759029667824507,25
CCOC(=O)C[C@@H](C)CCc1ccccc1,CCOC(=O)C[C@@H](C)CCc1ccccc1,CCOC(=O)C[C@H](C)CCc1ccccc1,CCOC(=O)C[CC@@H](C)CCc1ccccc1,CCOC(=O)C[CC@H](C)CCc1ccccc1,CCOC(=O)C[CH](C)CCc1ccccc1,1,-0.1459965854883194,-0.006083190906792879,24
COC(=O)C[C@@H](C)C(=O)OC,COC(=O)C[C@H](C)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC,COC(=O)C[C[C@H](C)C(=O)OC,COC(=O)C[C[C@@H](C)C(=O)OC,COC(=O)C[CC@H](C)C(=O)OC,2,-0.7451332211494446,-0.03386969119310379,22
C[C@@H](CC(=O)c1ccccc1)C(=O)O,C[C@@H](CC(=O)c1ccccc1)C(=O)O,C[C@H](CC(=O)c1ccccc1)C(=O)O,C[CC@@H](CC(=O)c1ccccc1)C(=O)O,C[C[C@@H](CC(=O)c1ccccc1)C(=O)O,C[C@@H](C(=O)c1ccccc1)C(=O)O,1,-0.0471060685813427,-0.0018117718864232302,26
COC(=O)[C@H](C)NC(C)=O,COC(=O)[C@H](C)NC(C)=O,COC(=O)[C@@H](C)NC(C)=O,CC[C@@H](NC(C)=O)C(=O)OC,CC(=O)N[C@@H](C)C(=O)OC,CC(=O)N[C@H](C)C(=O)OC,1,-0.6104688048362732,-0.03052343986928463,20
CCOC(=O)C[C@H](B1OC(C)(C)C(C)(C)O1)c1ccccc1,CCOC(=O)C[C@@H](B1OC(C)(C)C(C)(C)O1)c1ccccc1,CCOC(=O)C[C@H](B1OC(C)(C)C(C)(C)O1)c1ccccc1,CCOC(=O)C[C[C@@H](B1OC(C)(C)C(C)(C)O1)c1ccccc1,CCOC(=O)C[C[C@H](B1OC(C)(C)C(C)(C)O1)c1ccccc1,CCOC(=O)C[CC@@H](B1OC(C)(C)C(C)(C)O1)c1ccccc1,2,-0.9008299112319946,-0.02370605058968067,38
COC(=O)C[C@H](C)C(=O)OC,COC(=O)C[C@H](C)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC,CC[C@@H](CC(=O)OC)C(=O)OC,CC[C@H](CC(=O)OC)C(=O)OC,CC[C@@H](C)C(=O)OC,1,-0.16494180262088776,-0.007497354876250029,22
O=C1OCCC[C@@H]1Cc1ccccc1,O=C1OCCC[C@@H]1Cc1ccccc1,O=C1OCCC[C@H]1Cc1ccccc1,O=C1OCCC[CC@@H]1Cc1ccccc1,O=C1OCCC[C[C@@H]1Cc1ccccc1,O=C1OCCC[CC@H]1Cc1ccccc1,1,-0.3709792196750641,-0.016862692311406136,22
CCOC(=O)[C@H]1CCC[C@H]1NC(C)=O,CCOC(=O)[C@H]1CCC[C@H]1NC(C)=O,CCOC(=O)[C@@H]1CCC[C@@H]1NC(C)=O,CCOC(=O)[C@H]1CCC[C@@H]1NC(C)=O,CCOC(=O)[C[C@H]1CCC[C@H]1NC(C)=O,CCOC(=O)[C@@H]1CCC[C@H]1NC(C)=O,1,-0.02726104110479355,-0.0009736086358316243,28
CC(=O)N[C@@H](C)c1cccc2ccccc12,CC(=O)N[C@@H](C)c1cccc2ccccc12,CC(=O)N[C@H](C)c1cccc2ccccc12,CC(=O)N[C[C@@H](C)c1cccc2ccccc12,CC(=O)N[CC@@H](C)c1cccc2ccccc12,CC[C@@H](NC(C)=O)c1cccc2ccccc12,1,-0.13253827393054962,-0.0055224280804395676,24
Cc1ccc([C@H](C)c2ccccn2)cc1,Cc1ccc([C@H](C)c2ccccn2)cc1,Cc1ccc([C@@H](C)c2ccccn2)cc1,CCOc1ccc([C@H](C)c2ccccn2)cc1,CCOc1ccc([C@@H](C)c2ccccn2)cc1,Cccc([C@H](C)c2ccccn2)cc1,1,-0.16862913966178894,-0.007331701926887035,23
COC(=O)C[C@@H](C#N)CC(C)C,COC(=O)C[C@H](C#N)CC(C)C,COC(=O)C[C@@H](C#N)CC(C)C,COC(=O)C[C]C#N)CC(C)C,COC(=O)C[CH](C#N)CC(C)C,COC(=O)C[C#N)CC(C)C,2,-1.3536242246627808,-0.05885322764515877,23
O=S1(=O)CCCC[C@H](c2ccccc2)C1,O=S1(=O)CCCC[C@H](c2ccccc2)C1,O=S1(=O)CCCC[C@@H](c2ccccc2)C1,O=S1(=O)CCCC=C(c2ccccc2)C1,O=S1(=O)CC1[C@H](c2ccccc2)C1,O=S1(=O)CCC[C@H](c2ccccc2)C1,1,-0.058956362307071686,-0.0022675523068755865,26
O=C(O)C[C@@H](c1ccccc1)c1ccccc1Cl,O=C(O)C[C@H](c1ccccc1)c1ccccc1Cl,O=C(O)C[C@@H](c1ccccc1)c1ccccc1Cl,O=C(O)C[C@H](c1ccccc1)c1ccccc1C,O=C(O)C[C@H](c1ccccc1)c1ccccc1OC,O=C(O)C[C@H](c1ccccc1)c1ccccc1CO,2,-3.1769394874572754,-0.11346212774515152,28
CC(=O)N[C@H](Cc1ccccc1)C(=O)O,CC(=O)N[C@H](Cc1ccccc1)C(=O)O,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O,CC(=O)N[CC@H](Cc1ccccc1)C(=O)O,CC(=O)N[CC@@H](Cc1ccccc1)C(=O)O,CC(=O)N[C]@H](Cc1ccccc1)C(=O)O,1,-0.2676168382167816,-0.009911734610795975,27
CCOC(=O)C[C@@H](C)c1ccccc1,CCOC(=O)C[C@@H](C)c1ccccc1,CCOC(=O)C[C@H](C)c1ccccc1,CCOC(=O)C[CC@@H](C)c1ccccc1,CCOC(=O)C[CC@H](C)c1ccccc1,CCOC(=O)C[C=C(C)c1ccccc1,1,-0.21234209835529327,-0.009232264943420887,23
O=S1(=O)c2ccccc2C[C@@H]1c1ccccc1,O=S1(=O)c2ccccc2C[C@@H]1c1ccccc1,O=S1(=O)c2ccccc2C[C@H]1c1ccccc1,O=S1](=O)c2ccccc2C[C@@H]1c1ccccc1,O=S1(=O)c2ccccc2CN[C@@H]1c1ccccc1,O=S1(=O)c2ccccc2CC[C@@H]1c1ccccc1,1,-0.07036779075860977,-0.0024264755193144083,29
COc1ccc(O[C@@H](Cc2ccccc2)C(=O)O)cc1,COc1ccc(O[C@@H](Cc2ccccc2)C(=O)O)cc1,COc1ccc(O[C@H](Cc2ccccc2)C(=O)O)cc1,coc1ccc(O[C@@H](Cc2ccccc2)C(=O)O)cc1,COc1ccc(/O[C@@H](Cc2ccccc2)C(=O)O)cc1,COc1ccc(O[C@@H](Cc2ccccc2)C(=O)O])cc1,1,-0.03194670379161835,-0.0010305388132110238,31
COC(=O)[C@H](C)NC(C)=O,COC(=O)[C@H](C)NC(C)=O,COC(=O)[C@@H](C)NC(C)=O,CC[C@@H](NC(C)=O)C(=O)OC,CC(=O)N[C@@H](C)C(=O)OC,CC(=O)N[C@H](C)C(=O)OC,1,-0.6104688048362732,-0.03052343986928463,20
C[C@@H](CC(=O)c1ccc(Br)cc1)C(=O)O,C[C@@H](CC(=O)c1ccc(Br)cc1)C(=O)O,C[C@H](CC(=O)c1ccc(Br)cc1)C(=O)O,C[CC@@H](CC(=O)c1ccc(Br)cc1)C(=O)O,C[C@@H](CC(=O)OCc1ccc(Br)cc1)C(=O)O,C[C@@H](C(=O)c1ccc(Br)cc1)C(=O)O,1,-0.022905999794602394,-0.0007898620679043233,29
C[C@@H]1c2ccccc2CCN1C,C[C@@H]1c2ccccc2CCN1C,C[C@H]1c2ccccc2CCN1C,C[CH]1c2ccccc2CCN1C,C[C]1c2ccccc2CCN1C,C[C/C1c2ccccc2CCN1C,1,-0.18886640667915344,-0.009940337389707565,19
CC(=O)N[C@@H](C)c1ccccc1,CC(=O)N[C@@H](C)c1ccccc1,CC(=O)N[C@H](C)c1ccccc1,CC(=O)N[C[C@@H](C)c1ccccc1,CC(=O)N[CC@@H](C)c1ccccc1,CC[C@@H](NC(C)=O)c1ccccc1,1,-0.1769879013299942,-0.008427995257079601,21
COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O,COC(=O)[CC@@H](Cc1ccccc1)NC(C)=O,COC(=O)[C]@@H](Cc1ccccc1)NC(C)=O,COC(=O)[C=C/c1ccccc1)NC(C)=O,1,-0.05677717551589012,-0.002183737466111779,26
CC(C)C[C@@H]1CCCNC1=O,CC(C)C[C@@H]1CCCNC1=O,CC(C)C[C@H]1CCCNC1=O,CC(C)CC[C@@H]1CCCNC1=O,CC(C)C[C@@H]1CC/NC1=O,CC(C)C[CC@@H]1CCCNC1=O,1,-0.03666490316390991,-0.001929731690324843,19
C[C@H]1CCc2ccccc2[C@H]1c1ccccc1,C[C@H]1CCc2ccccc2[C@H]1c1ccccc1,C[C@@H]1CCc2ccccc2[C@@H]1c1ccccc1,C[C@H]1CCc2ccccc2[C@@H]1c1ccccc1,C[C@@H]1CCc2ccccc2[C@H]1c1ccccc1,C[CC@H]1CCc2ccccc2[C@H]1c1ccccc1,1,-0.10314461588859558,-0.003683736314997077,28
CC(=O)N[C@@H]1CCCc2ccccc21,CC(=O)N[C@@H]1CCCc2ccccc21,CC(=O)N[C@H]1CCCc2ccccc21,CC(=O)N[CC@@H]1CCCc2ccccc21,CC(=O)N[CO[C@@H]1CCCc2ccccc21,CC(=O)N[C[C@@H]1CCCc2ccccc21,1,-0.11301305145025253,-0.005136956926435232,22
CCCC[C@H](C)c1ccccc1,CCCC[C@H](C)c1ccccc1,CCCC[C@@H](C)c1ccccc1,CCCC[C[C@H](C)c1ccccc1,CC1[C@H](C)c1ccccc1,CCCC[CC@H](C)c1ccccc1,1,-0.045790355652570724,-0.0026935504283756018,17
