Reactant,product,a_nbo,b_nbo,r2_nbo,a_bond,b_bond,r2_bond,a_vbur,b_vbur,r2_vbur,a_l,b_l,r2_l,a_b1,b_b1,r2_b1,a_b5,b_b5,r2_b5
C/C(=C/[C@@H](C)C[C@@H](C)CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)CO,C[C@H](CO)C[C@@H](C)C[C@@H](C)CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C/c1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1,-89.6917103875364,145.76682784896778,1.0,400.89476612610076,207.06401809993187,1.0,36.89570552014381,-22.457671544369155,1.0,0.49878923079016113,-2.0316734055151877,1.0,2.0774842607335353,-2.8046288080310577,1.0,-0.7004511295800246,8.063576359949293,1.0
C/C(=C\C(=O)C1CCCCC1)S(=O)(=O)c1ccc(C)cc1,Cc1ccc(S(=O)(=O)[C@H](C)CC(=O)C2CCCCC2)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)O)C(F)(F)F,CC(CC(=O)O)C(F)(F)F,-3.962308986252791,8.604075506191483,1.0,10.48783672372032,8.618373674389662,1.0,-31.825299985319848,28.44118265966279,1.0,-2.048390526577337,21.689840941457895,1.0,1.6164406259709814,-5.52699122929528,1.0,0.9620932863934231,-6.400909384879871,1.0
C/C(=C\C(=O)O)c1ccccc1,C[C@@H](CC(=O)O)c1ccccc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1ccc(-c2ccc(F)cc2F)cc1)C(=O)O,C[C@H](CC(=O)c1ccc(-c2ccc(F)cc2F)cc1)C(=O)O,0.0,4.944212337429541,0.0,0.0,4.944212337429541,0.0,0.0,4.944212337429541,0.0,0.0,4.944212337429541,0.0,0.0,4.944212337429541,0.0,0.0,4.944212337429541,0.0
C/C(=C\C(=O)c1ccc(C(C)(C)C)cc1)C(=O)O,C[C@H](CC(=O)c1ccc(C(C)(C)C)cc1)C(=O)O,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1ccc(C(F)(F)F)cc1)C(=O)O,C[C@H](CC(=O)c1ccc(C(F)(F)F)cc1)C(=O)O,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1ccc(C)cc1)C(=O)O,Cc1ccc(C(=O)C[C@@H](C)C(=O)O)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1ccc(Cl)cc1)C(=O)O,C[C@H](CC(=O)c1ccc(Cl)cc1)C(=O)O,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1ccc(F)cc1)C(=O)O,C[C@H](CC(=O)c1ccc(F)cc1)C(=O)O,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1ccc(F)cc1)S(=O)(=O)c1ccc(C)cc1,Cc1ccc(S(=O)(=O)[C@H](C)CC(=O)c2ccc(F)cc2)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1ccc(F)cc1)S(=O)(=O)c1ccccc1,C[C@H](CC(=O)c1ccc(F)cc1)S(=O)(=O)c1ccccc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1ccc(F)cc1)S(C)(=O)=O,C[C@H](CC(=O)c1ccc(F)cc1)S(C)(=O)=O,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1ccc(F)cc1F)C(=O)O,C[C@H](CC(=O)c1ccc(F)cc1F)C(=O)O,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1ccc2ccccc2c1)S(=O)(=O)c1ccc(C)cc1,Cc1ccc(S(=O)(=O)[C@H](C)CC(=O)c2ccc3ccccc3c2)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1cccc(C)c1)C(=O)O,Cc1cccc(C(=O)C[C@@H](C)C(=O)O)c1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1cccc(C)c1)S(=O)(=O)c1ccc(C)cc1,Cc1ccc(S(=O)(=O)[C@H](C)CC(=O)c2cccc(C)c2)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1cccc(F)c1)C(=O)O,C[C@H](CC(=O)c1cccc(F)c1)C(=O)O,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1cccc([N+](=O)[O-])c1)C(=O)O,C[C@H](CC(=O)c1cccc([N+](=O)[O-])c1)C(=O)O,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1cccc2ccccc12)C(=O)O,C[C@H](CC(=O)c1cccc2ccccc12)C(=O)O,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1ccccc1)C(=O)O,C[C@@H](CC(=O)c1ccccc1)C(=O)O,-34.490550018793165,53.995901861025786,1.0,-378.88317957447896,-168.83462901005512,1.0,-1944.534281060193,1342.5062030525949,1.0,-0.5375682826805612,6.475302112350209,1.0,11.94249459896718,-59.049335666296095,1.0,6.632980416273655,-61.02845388443199,1.0
C/C(=C\C(=O)c1ccccc1)C(=O)O,C[C@H](CC(=O)c1ccccc1)C(=O)O,-0.10522002304342742,3.6003147328512535,0.0011618601189702371,96.49992642807263,45.9742760683312,0.5945313138975439,-51.751829388330236,41.08717843061165,0.384687561726877,0.391540504298948,0.17355314485378281,0.02183267673540934,-0.21169652100586858,4.498570890706817,0.006868003705382986,0.15157280621921274,1.9224080130453978,0.005989852014442243
C/C(=C\C(=O)c1ccccc1)CCc1ccccc1,CC(CCc1ccccc1)CC(=O)c1ccccc1,0.016742388495328202,1.9702728323338001,0.00018725700380695098,-1.221754176392888,1.4426814750075132,0.05632361845747724,1.3978046077432051,0.8994700258701374,0.05754230497668855,-0.15642965439533268,3.301436546946565,0.2242878574857381,-0.3184130289294279,3.2768279789213612,0.9806055738177839,-0.09892770107678331,2.9006880454246304,0.13049583186541414
C/C(=C\C(=O)c1ccccc1)S(=O)(=O)c1ccc(C)cc1,Cc1ccc(S(=O)(=O)[C@H](C)CC(=O)c2ccccc2)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1ccccc1)S(=O)(=O)c1ccc(Cl)cc1,C[C@H](CC(=O)c1ccccc1)S(=O)(=O)c1ccc(Cl)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1ccccc1)S(=O)(=O)c1ccccc1,C[C@H](CC(=O)c1ccccc1)S(=O)(=O)c1ccccc1,-114.9493284379449,176.69882382658463,0.46386281532933016,99.38340505925781,48.577733108631435,0.0983619810853833,40.75333460529292,-26.617462864607436,0.6608033725368228,0.32325551520481255,0.43820599099856716,0.07042749879837451,1.393831228567973,-3.746748054958202,0.5148498765111535,2.9454631476146003,-26.111668008972696,0.7562158621001763
C/C(=C\C(=O)c1ccccc1)S(C)(=O)=O,C[C@H](CC(=O)c1ccccc1)S(C)(=O)=O,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1ccccc1)c1ccc(Br)cc1,CC(CC(=O)c1ccccc1)c1ccc(Br)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1ccccc1)c1ccc(C(F)(F)F)cc1,CC(CC(=O)c1ccccc1)c1ccc(C(F)(F)F)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1ccccc1)c1ccc(C)cc1,Cc1ccc(C(C)CC(=O)c2ccccc2)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1ccccc1)c1ccc(Cl)cc1,CC(CC(=O)c1ccccc1)c1ccc(Cl)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1ccccc1)c1ccc(F)cc1,CC(CC(=O)c1ccccc1)c1ccc(F)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1ccccc1)c1ccc2ccccc2c1,CC(CC(=O)c1ccccc1)c1ccc2ccccc2c1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1ccccc1)c1cccc(C)c1,Cc1cccc(C(C)CC(=O)c2ccccc2)c1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1ccccc1)c1cccc(Cl)c1,CC(CC(=O)c1ccccc1)c1cccc(Cl)c1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1ccccc1)c1cccc2ccccc12,CC(CC(=O)c1ccccc1)c1cccc2ccccc12,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1ccccc1)c1ccccc1,CC(CC(=O)c1ccccc1)c1ccccc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1ccccc1)c1ccccc1,C[C@@H](CC(=O)c1ccccc1)c1ccccc1,0.43114067634203973,1.597483000050167,0.003135406293753751,4.635109672436445,4.369082469935107,0.030675633757587528,0.9820252115550869,1.494785482832234,0.0032423900596679767,-0.01201294739070456,2.294524809324594,0.0002725393403311127,0.37006333668245145,0.3961011517152553,0.15808004623764038,0.3141607383358118,-0.7998027798348271,0.16500060521071058
C/C(=C\C(=O)c1ccccc1)c1ccccc1Cl,CC(CC(=O)c1ccccc1)c1ccccc1Cl,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1ccccc1)c1cccs1,CC(CC(=O)c1ccccc1)c1cccs1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1ccccc1C)C(=O)O,Cc1ccccc1C(=O)C[C@@H](C)C(=O)O,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1ccccc1C)S(=O)(=O)c1ccc(C)cc1,Cc1ccc(S(=O)(=O)[C@H](C)CC(=O)c2ccccc2C)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1ccccc1F)C(=O)O,C[C@H](CC(=O)c1ccccc1F)C(=O)O,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1ccco1)C(=O)O,C[C@H](CC(=O)c1ccco1)C(=O)O,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1ccco1)S(=O)(=O)c1ccc(C)cc1,Cc1ccc(S(=O)(=O)[C@H](C)CC(=O)c2ccco2)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1cccs1)C(=O)O,C[C@H](CC(=O)c1cccs1)C(=O)O,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)c1cccs1)S(=O)(=O)c1ccc(C)cc1,Cc1ccc(S(=O)(=O)[C@H](C)CC(=O)c2cccs2)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)n1cccn1)c1ccc(C)cc1,Cc1ccc([C@H](C)CC(=O)n2cccn2)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)n1cccn1)c1ccc(CC(C)C)cc1,CC(C)Cc1ccc([C@H](C)CC(=O)n2cccn2)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)n1cccn1)c1ccc(Cl)cc1,C[C@H](CC(=O)n1cccn1)c1ccc(Cl)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)n1cccn1)c1ccc(F)cc1,C[C@H](CC(=O)n1cccn1)c1ccc(F)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)n1cccn1)c1cccc(C)c1,Cc1cccc([C@H](C)CC(=O)n2cccn2)c1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(=O)n1cccn1)c1ccccc1,C[C@H](CC(=O)n1cccn1)c1ccccc1,-19.245200308964346,31.68877454814587,0.015751852785724885,24.649128583411585,13.960339351552914,0.01811967381004964,2.3511441612221975,1.037661966870439,0.00889102394602348,0.1280114707408679,1.6178245045580333,0.006240569940104912,0.03997884236789519,2.5488627916700732,0.0008906507653840823,0.15536502958403714,1.189269419634396,0.019408787868820165
C/C(=C\C(C)C)C(=O)NCc1ccccc1,CC(C)CCC(=O)NCc1ccccc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(N)=O)c1ccc(Br)cc1,CC(CC(N)=O)c1ccc(Br)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(N)=O)c1ccc(C)cc1,Cc1ccc(C(C)CC(N)=O)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(N)=O)c1ccc(Cl)cc1,CC(CC(N)=O)c1ccc(Cl)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(N)=O)c1ccc(F)cc1,CC(CC(N)=O)c1ccc(F)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(N)=O)c1ccc2ccccc2c1,CC(CC(N)=O)c1ccc2ccccc2c1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(N)=O)c1cccc(C)c1,Cc1cccc(C(C)CC(N)=O)c1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(N)=O)c1ccccc1,CC(CC(N)=O)c1ccccc1,0.0,2.5501739112463935,0.0,0.0,2.5501739112463935,0.0,0.0,2.5501739112463935,0.0,0.0,2.5501739112463935,0.0,0.0,2.5501739112463935,0.0,0.0,2.5501739112463935,0.0
C/C(=C\C(N)=O)c1ccccc1C,Cc1ccccc1C(C)CC(N)=O,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C(N)=O)c1cccs1,CC(CC(N)=O)c1cccs1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\C1CCCCC1)C(=O)O,C[C@H](CC1CCCCC1)C(=O)O,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\CC(=O)O)c1ccc(C)c(C)c1,Cc1ccc(C(C)CCC(=O)O)cc1C,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\CC(=O)O)c1ccc(C)cc1,Cc1ccc(C(C)CCC(=O)O)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\CC(=O)O)c1ccc(F)cc1,CC(CCC(=O)O)c1ccc(F)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\CC(=O)O)c1ccc2c(c1)OCO2,CC(CCC(=O)O)c1ccc2c(c1)OCO2,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\CC(=O)O)c1ccc2ccccc2c1,CC(CCC(=O)O)c1ccc2ccccc2c1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\CC(=O)O)c1cccc(Br)c1,CC(CCC(=O)O)c1cccc(Br)c1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\CC(=O)O)c1cccc(C)c1,Cc1cccc(C(C)CCC(=O)O)c1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\CC(=O)O)c1ccccc1,C[C@H](CCC(=O)O)c1ccccc1,21.900354590001623,-33.00173456987428,0.1816157547849967,-31.340123663779508,-12.627543991952187,0.06443313526764305,15.750234808948132,-9.899144688477165,0.29723610263357136,-0.03167992804508018,2.9408302682941185,0.00041619157646310967,-0.8723366283579855,5.397230393663406,0.379044258894921,0.006389110575064631,2.573549341930713,3.464847419454298e-05
C/C(=C\CC(=O)O)c1cccs1,CC(CCC(=O)O)c1cccs1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\CC(C)C)C(=O)NCc1ccccc1,CC(C)CCCC(=O)NCc1ccccc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\CC(C)C)C(=O)O,CC(C)CC[C@H](C)C(=O)O,-4.635079746820357,10.630082418786493,0.7997613061231624,-22.349224704756388,-8.084311445281042,0.9854976638027788,6.236592482407796,-1.4581084874829946,0.8103652322295154,-0.7282448031459636,11.290963540856005,0.7904628084292119,0.4336845838979178,1.7698499783577772,0.30290120416358346,0.8643119700823217,-5.8835614737059885,0.6404711865391997
C/C(=C\CCc1ccccc1)C(=O)OC(C)C,CC(C)OC(=O)C(C)CCCc1ccccc1,2.248095870338179,-1.8536176820153636,0.1563581338298301,-16.51497696394402,-6.557574738623792,0.08639800715569279,11.137697564398195,-6.618881114682107,0.1814822806391776,-0.2331567331676624,4.368303967004266,0.17371129779183458,1.2852259400299486,-2.4464581186182834,0.9445824263659397,-0.14020935482031885,3.364609718772855,0.03411964077521834
C/C(=C\CO)c1ccccc1,CC(CCO)c1ccccc1,0.0,0.0,1.0,-0.0,0.0,1.0,-0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.0,0.0,1.0
C/C(=C\CO)c1ccccc1,C[C@@H](CCO)c1ccccc1,10.921673068907749,-14.908496998477558,0.441554470536889,-40.57327881115276,-17.510073884485717,0.4752353841816108,-15.840899583906232,14.850065227483418,0.6597407802213656,-0.46762179010291843,6.484586481574835,0.22296939536436022,-0.08649495474984233,1.8409442406681396,0.001796424949032538,0.24756494239613616,-0.361826011424109,0.043656128944648986
C/C(=C\CO)c1ccccc1,C[C@H](CCO)c1ccccc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\COCc1ccccc1)[C@H](O)[C@H](C)CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C,C[C@@H](CCOCc1ccccc1)[C@H](O)[C@H](C)CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\CS(=O)(=O)Cc1ccccc1)c1ccccc1,CC(CCS(=O)(=O)Cc1ccccc1)c1ccccc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
